"country","year","version","years_since_original","component","revision_cause","revision","cum_revision"
"Austria",2003,2006-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2003,2006-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2004,2006-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2004,2006-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2004,2007-04-01,3,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2004,2007-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.1
"Austria",2005,2006-04-01,1,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2005,2006-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0.1
"Austria",2005,2007-04-01,2,"debt","due to revision of deficit/surplus or debt",0.1,0.2
"Austria",2005,2007-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0.2
"Austria",2005,2008-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.2
"Austria",2005,2008-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.2
"Austria",2006,2006-10-01,0,"debt","due to revision of deficit/surplus or debt",-0.2,-0.2
"Austria",2006,2007-04-01,1,"debt","due to revision of deficit/surplus or debt",0.2,0
"Austria",2006,2007-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2006,2008-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2006,2008-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2006,2009-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2006,2009-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Austria",2007,2007-10-01,0,"debt","due to revision of deficit/surplus or debt",-0.1,-0.1
"Austria",2007,2008-04-01,1,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2007,2008-10-01,1,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2007,2009-04-01,2,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2007,2009-10-01,2,"debt","due to revision of deficit/surplus or debt",0.1,0
"Austria",2007,2010-04-01,3,"debt","due to revision of deficit/surplus or debt",1.4,1.4
"Austria",2007,2010-10-01,3,"debt","due to revision of deficit/surplus or debt",0,1.4
"Austria",2008,2008-10-01,0,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2008,2009-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0.1
"Austria",2008,2009-10-01,1,"debt","due to revision of deficit/surplus or debt",0.1,0.2
"Austria",2008,2010-04-01,2,"debt","due to revision of deficit/surplus or debt",1.3,1.5
"Austria",2008,2010-10-01,2,"debt","due to revision of deficit/surplus or debt",0,1.5
"Austria",2008,2011-04-01,3,"debt","due to revision of deficit/surplus or debt",0,1.5
"Austria",2008,2011-10-01,3,"debt","due to revision of deficit/surplus or debt",0,1.5
"Austria",2009,2009-10-01,0,"debt","due to revision of deficit/surplus or debt",0.4,0.4
"Austria",2009,2010-04-01,1,"debt","due to revision of deficit/surplus or debt",2.2,2.6
"Austria",2009,2010-10-01,1,"debt","due to revision of deficit/surplus or debt",0,2.6
"Austria",2009,2011-04-01,2,"debt","due to revision of deficit/surplus or debt",0,2.6
"Austria",2009,2011-10-01,2,"debt","due to revision of deficit/surplus or debt",0,2.6
"Austria",2009,2012-04-01,3,"debt","due to revision of deficit/surplus or debt",0,2.6
"Austria",2009,2012-10-01,3,"debt","due to revision of deficit/surplus or debt",0,2.6
"Austria",2010,2010-10-01,0,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2010,2011-04-01,1,"debt","due to revision of deficit/surplus or debt",0.1,0.2
"Austria",2010,2011-10-01,1,"debt","due to revision of deficit/surplus or debt",0.1,0.3
"Austria",2010,2012-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0.3
"Austria",2010,2012-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0.3
"Austria",2010,2013-04-01,3,"debt","due to revision of deficit/surplus or debt",0.2,0.5
"Austria",2010,2013-10-01,3,"debt","due to revision of deficit/surplus or debt",12.2,12.7
"Austria",2011,2011-10-01,0,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2011,2012-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0.1
"Austria",2011,2012-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0.1
"Austria",2011,2013-04-01,2,"debt","due to revision of deficit/surplus or debt",0.3,0.4
"Austria",2011,2013-10-01,2,"debt","due to revision of deficit/surplus or debt",11.2,11.6
"Austria",2011,2014-04-01,3,"debt","due to revision of deficit/surplus or debt",0,11.6
"Austria",2012,2012-10-01,0,"debt","due to revision of deficit/surplus or debt",-0.1,-0.1
"Austria",2012,2013-04-01,1,"debt","due to revision of deficit/surplus or debt",0.4,0.3
"Austria",2012,2013-10-01,1,"debt","due to revision of deficit/surplus or debt",9.7,10
"Austria",2012,2014-04-01,2,"debt","due to revision of deficit/surplus or debt",-0.2,9.8
"Austria",2013,2013-10-01,0,"debt","due to revision of deficit/surplus or debt",8.9,8.9
"Austria",2013,2014-04-01,1,"debt","due to revision of deficit/surplus or debt",-0.3,8.6
"Austria",2003,2006-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2003,2006-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2004,2006-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2004,2006-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2004,2007-04-01,3,"deficit","due to revision of deficit/surplus or debt",-2.6,-2.6
"Austria",2004,2007-10-01,3,"deficit","due to revision of deficit/surplus or debt",-0.6,-3.2
"Austria",2005,2006-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Austria",2005,2006-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2005,2007-04-01,2,"deficit","due to revision of deficit/surplus or debt",0.1,0
"Austria",2005,2007-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2005,2008-04-01,3,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Austria",2005,2008-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2006,2006-10-01,0,"deficit","due to revision of deficit/surplus or debt",-0.3,-0.3
"Austria",2006,2007-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.4
"Austria",2006,2007-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.4
"Austria",2006,2008-04-01,2,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.5
"Austria",2006,2008-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.5
"Austria",2006,2009-04-01,3,"deficit","due to revision of deficit/surplus or debt",0.1,-0.4
"Austria",2006,2009-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.4
"Austria",2007,2007-10-01,0,"deficit","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2007,2008-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.1,0
"Austria",2007,2008-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2007,2009-04-01,2,"deficit","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2007,2009-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.1
"Austria",2007,2010-04-01,3,"deficit","due to revision of deficit/surplus or debt",-0.4,-0.3
"Austria",2007,2010-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.3
"Austria",2008,2008-10-01,0,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Austria",2008,2009-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2008,2009-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Austria",2008,2010-04-01,2,"deficit","due to revision of deficit/surplus or debt",-0.5,-0.6
"Austria",2008,2010-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2008,2011-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2008,2011-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2009,2009-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2009,2010-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.6,-0.6
"Austria",2009,2010-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2009,2011-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2009,2011-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2009,2012-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2009,2012-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.6
"Austria",2010,2010-10-01,0,"deficit","due to revision of deficit/surplus or debt",0.2,0.2
"Austria",2010,2011-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.1,0.1
"Austria",2010,2011-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0.1
"Austria",2010,2012-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.1
"Austria",2010,2012-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.1
"Austria",2010,2013-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0.1
"Austria",2010,2013-10-01,3,"deficit","due to revision of deficit/surplus or debt",-0.1,0
"Austria",2011,2011-10-01,0,"deficit","due to revision of deficit/surplus or debt",0.1,0.1
"Austria",2011,2012-04-01,1,"deficit","due to revision of deficit/surplus or debt",0.1,0.2
"Austria",2011,2012-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0.2
"Austria",2011,2013-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.2
"Austria",2011,2013-10-01,2,"deficit","due to revision of deficit/surplus or debt",-0.3,-0.1
"Austria",2011,2014-04-01,3,"deficit","due to revision of deficit/surplus or debt",0.1,0
"Austria",2012,2012-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2012,2013-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2012,2013-10-01,1,"deficit","due to revision of deficit/surplus or debt",0.2,0.2
"Austria",2012,2014-04-01,2,"deficit","due to revision of deficit/surplus or debt",0.1,0.3
