country,revision_cause,deficit_2005,deficit_2006,deficit_2007,debt_2005,debt_2006,debt_2007
Belgium,Revision in deficit/surplus and debt ratios,-0.1,0.0,0.1,0.1,0.1,0.1
Belgium,- due to revision of deficit/surplus or debt,-0.1,0.0,0.1,0.1,0.1,0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,0.0,0.0,0.4,0.0,0.0,0.0
Czech,- due to revision of deficit/surplus or debt,0.0,0.0,0.4,0.0,0.0,0.0
Czech,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.1,-0.3,0.7,0.8,0.7
Denmark,- due to revision of deficit/surplus or debt,0.0,0.1,-0.4,0.6,0.6,0.5
Denmark,- due to revision of GDP,0.0,0.0,0.0,0.1,0.2,0.1
Germany,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.2,0.2,0.2
Ireland,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.2,0.2,0.2
Ireland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.0
Greece,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0
Greece,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.1
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.1
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
France,Revision in deficit/surplus and debt ratios,0.0,0.1,-0.1,0.0,0.0,-0.1
France,- due to revision of deficit/surplus or debt,0.0,0.1,-0.1,0.0,0.0,0.0
France,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.1
Italy,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,-0.1,-0.4,-0.6
Italy,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.0
Italy,- due to revision of GDP,0.0,0.0,0.0,-0.1,-0.4,-0.6
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,-0.1
