country,revision_cause,deficit_2006,deficit_2007,deficit_2008,deficit_2009,debt_2006,debt_2007,debt_2008,debt_2009
Belgium,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.2,0.0,0.0,0.0,-0.2,-0.5
Belgium,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.2,0.0,0.0,0.0,-0.1,-0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.4
Bulgaria,Revision in deficit/surplus and debt ratios,-1.2,1.1,-0.2,-0.8,-1.1,-1.0,-0.4,-0.1
Bulgaria,- due to revision of deficit/surplus or debt,-1.0,1.1,-0.1,-0.9,0.0,0.1,0.2,0.4
Bulgaria,- due to revision of GDP,-0.1,0.0,-0.1,0.1,-1.1,-1.1,-0.5,-0.5
Czech Republic,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Czech Republic,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.1
Czech Republic,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
Denmark,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Denmark,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Germany,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.3,0.0,-0.1,0.3,0.2
Germany,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.3,0.0,0.0,-0.1,-0.1
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.1,0.4,0.3
Estonia,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.1,0.0,-0.1,0.0,0.0,-0.1
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.1
Ireland,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,-0.1,-0.1,0.0,0.4,1.5
Ireland,- due to revision of deficit/surplus or debt,0.0,-0.1,0.0,0.2,0.0,0.0,0.0,0.0
Ireland,- due to revision of GDP,0.0,0.0,-0.1,-0.3,-0.1,0.0,0.4,1.6
Greece,Revision in deficit/surplus and debt ratios,-2.2,-1.3,-1.8,-1.8,8.3,9.3,11.1,11.7
Greece,- due to revision of deficit/surplus or debt,-2.2,-1.3,-1.7,-1.6,8.7,9.6,10.2,10.5
Greece,- due to revision of GDP,0.0,0.0,-0.1,-0.1,-0.4,-0.3,0.9,1.2
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.1,0.0,0.0,0.1,-0.1
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.1
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
France,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Italy,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2
Italy,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,1.8
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.8
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
