"country","year","iso2c","worldbank_code","yrcurnt_corrected","elect_dummy","version","years_since_original","component","revision_cause","revision","cum_revision","fsi_annual_mean","finstress_mean","endog_3","exchange_usd","gdp_growth","central_gov_debt","lv_crisis","lag_cent_debt","gen_gov_debt","lag_gen_debt","general_gov_deficit","lag_gen_deficit","euro_member","fiscal_trans_gfs","excessdef","delegation","contracts","expcontracts","monitor_n_DR"
"Austria",2003,"AT","AUT",4,0,"2006-04-01",3,"debt","due to revision of deficit/surplus or debt",0,0,0.0576224079234577,0.528840630371812,3,0.886034166666667,0.756156575984136,NA,0,NA,65.5,66.3,-1.8,NA,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2003,"AT","AUT",4,0,"2006-04-01",3,"deficit","due to revision of deficit/surplus or debt",0,0,0.0576224079234577,0.528840630371812,3,0.886034166666667,0.756156575984136,NA,0,NA,65.5,66.3,-1.8,NA,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2003,"AT","AUT",4,0,"2006-10-01",3,"debt","due to revision of deficit/surplus or debt",0,0,0.0576224079234577,0.528840630371812,3,0.886034166666667,0.756156575984136,NA,0,NA,65.5,66.3,-1.8,NA,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2003,"AT","AUT",4,0,"2006-10-01",3,"deficit","due to revision of deficit/surplus or debt",0,0,0.0576224079234577,0.528840630371812,3,0.886034166666667,0.756156575984136,NA,0,NA,65.5,66.3,-1.8,NA,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2006-04-01",2,"debt","due to revision of deficit/surplus or debt",0,0,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2006-04-01",2,"deficit","due to revision of deficit/surplus or debt",0,0,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2006-10-01",2,"debt","due to revision of deficit/surplus or debt",0,0,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2006-10-01",2,"deficit","due to revision of deficit/surplus or debt",0,0,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2007-04-01",3,"debt","due to revision of deficit/surplus or debt",0.1,0.1,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2007-04-01",3,"deficit","due to revision of deficit/surplus or debt",-2.6,-2.6,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2007-10-01",3,"debt","due to revision of deficit/surplus or debt",0,0.1,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2004,"AT","AUT",3,0,"2007-10-01",3,"deficit","due to revision of deficit/surplus or debt",-0.6,-3.2,0.0688069068279863,0.418687346262267,3,0.805365,2.70574308750665,NA,0,NA,64.8,65.5,-4.8,-1.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2006-04-01",1,"debt","due to revision of deficit/surplus or debt",0.1,0.1,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2006-04-01",1,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2006-10-01",1,"debt","due to revision of deficit/surplus or debt",0,0.1,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2006-10-01",1,"deficit","due to revision of deficit/surplus or debt",0,-0.1,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2007-04-01",2,"debt","due to revision of deficit/surplus or debt",0.1,0.2,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2007-04-01",2,"deficit","due to revision of deficit/surplus or debt",0.1,0,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2007-10-01",2,"debt","due to revision of deficit/surplus or debt",0,0.2,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
"Austria",2005,"AT","AUT",2,0,"2007-10-01",2,"deficit","due to revision of deficit/surplus or debt",0,0,0.0707761215459963,0.498428641063377,3,0.80412,2.14068259595112,NA,0,NA,68.3,64.8,-2.5,-4.8,1,50,0,0.617500007152557,0.90625,NA,0
