"country","actualyear","excessdef"
"Austria",1998,0
"Austria",1999,0
"Austria",2000,0
"Austria",2001,0
"Austria",2002,0
"Austria",2003,0
"Austria",2004,0
"Austria",2005,0
"Austria",2006,0
"Austria",2007,0
"Austria",2008,0
"Austria",2009,1
"Austria",2010,1
"Austria",2011,1
"Austria",2012,1
"Austria",2013,1
"Austria",2014,1
"Austria",2015,0
"Belgium",1998,0
"Belgium",1999,0
"Belgium",2000,0
"Belgium",2001,0
"Belgium",2002,0
"Belgium",2003,0
"Belgium",2004,0
"Belgium",2005,0
"Belgium",2006,0
"Belgium",2007,0
"Belgium",2008,0
"Belgium",2009,1
"Belgium",2010,1
"Belgium",2011,1
"Belgium",2012,1
"Belgium",2013,1
"Belgium",2014,1
"Belgium",2015,0
"Bulgaria",2007,0
"Bulgaria",2008,0
"Bulgaria",2009,0
"Bulgaria",2010,1
"Bulgaria",2011,1
"Bulgaria",2012,0
"Bulgaria",2013,0
"Bulgaria",2014,0
"Bulgaria",2015,0
"Croatia",2013,1
"Croatia",2014,1
"Croatia",2015,1
"Cyprus",2006,0
"Cyprus",2007,0
"Cyprus",2008,0
"Cyprus",2009,0
"Cyprus",2010,1
"Cyprus",2011,1
"Cyprus",2012,0
"Cyprus",2013,1
"Cyprus",2014,1
"Cyprus",2015,1
"Czech Republic",2006,0
"Czech Republic",2007,0
"Czech Republic",2008,0
"Czech Republic",2009,1
"Czech Republic",2010,1
"Czech Republic",2011,1
"Czech Republic",2012,1
"Czech Republic",2013,1
"Czech Republic",2014,1
"Czech Republic",2015,0
"Denmark",1998,0
"Denmark",1999,0
"Denmark",2000,0
"Denmark",2001,0
"Denmark",2002,0
"Denmark",2003,0
"Denmark",2004,0
"Denmark",2005,0
"Denmark",2006,0
"Denmark",2007,0
"Denmark",2008,0
"Denmark",2009,0
"Denmark",2010,1
"Denmark",2011,1
"Denmark",2012,1
"Denmark",2013,1
"Denmark",2014,1
"Denmark",2015,0
"Estonia",2006,NA
"Estonia",2007,NA
"Estonia",2008,NA
"Estonia",2009,0
"Estonia",2010,0
"Estonia",2011,0
"Estonia",2012,0
"Estonia",2013,0
"Estonia",2014,0
"Estonia",2015,0
"Finland",1998,0
"Finland",1999,0
"Finland",2000,0
"Finland",2001,0
"Finland",2002,0
"Finland",2003,0
"Finland",2004,0
"Finland",2005,0
"Finland",2006,0
"Finland",2007,0
"Finland",2008,0
"Finland",2009,0
"Finland",2010,0
"Finland",2011,0
"Finland",2012,0
"Finland",2013,1
"Finland",2014,0
"Finland",2015,0
"France",1998,0
"France",1999,0
"France",2000,0
"France",2001,0
"France",2002,0
"France",2003,1
"France",2004,1
"France",2005,1
"France",2006,1
"France",2007,0
"France",2008,0
"France",2009,1
"France",2010,1
"France",2011,1
"France",2012,1
"France",2013,1
"France",2014,1
"France",2015,1
"Germany",1998,0
"Germany",1999,0
"Germany",2000,0
"Germany",2001,0
"Germany",2002,1
"Germany",2003,1
"Germany",2004,1
"Germany",2005,1
"Germany",2006,1
"Germany",2007,0
"Germany",2008,0
"Germany",2009,1
"Germany",2010,1
"Germany",2011,0
"Germany",2012,0
"Germany",2013,0
"Germany",2014,0
"Germany",2015,0
"Greece",1998,0
"Greece",1999,0
"Greece",2000,0
"Greece",2001,0
"Greece",2002,0
"Greece",2003,0
"Greece",2004,1
"Greece",2005,1
"Greece",2006,1
"Greece",2007,0
"Greece",2008,0
"Greece",2009,1
"Greece",2010,1
"Greece",2011,1
"Greece",2012,0
"Greece",2013,1
"Greece",2014,1
"Greece",2015,1
