"year","fsi_annual_mean","country"
1964,0.100558852565023,"Austria"
1965,0.0797476856011751,"Austria"
1966,0.093813513710761,"Austria"
1967,0.058862283052732,"Austria"
1968,0.13702388997793,"Austria"
1969,0.0864129878063301,"Austria"
1970,0.0457773042054131,"Austria"
1971,0.0709910541654136,"Austria"
1972,0.0783717552434116,"Austria"
1973,0.112596227143842,"Austria"
1974,0.151097237800954,"Austria"
1975,0.110850804606454,"Austria"
1976,0.0597909075603157,"Austria"
1977,0.0707505962768477,"Austria"
1978,0.0927955641675412,"Austria"
1979,0.0665973078797883,"Austria"
1980,0.0543708791364038,"Austria"
1981,0.228587604089899,"Austria"
1982,0.253718109024188,"Austria"
1983,0.139136567265115,"Austria"
1984,0.0818958085759479,"Austria"
1985,0.141411805303074,"Austria"
1986,0.318121496756416,"Austria"
1987,0.180305533382509,"Austria"
1988,0.0868051052797288,"Austria"
1989,0.105762106771254,"Austria"
1990,0.0874984502666115,"Austria"
1991,0.19434490339786,"Austria"
1992,0.260901194348595,"Austria"
1993,0.188924483319158,"Austria"
1994,0.0955922917015089,"Austria"
1995,0.157752952603621,"Austria"
1996,0.121104903197026,"Austria"
1997,0.145416264228511,"Austria"
1998,0.105609844700103,"Austria"
1999,0.178876007970207,"Austria"
2000,0.110067303889699,"Austria"
2001,0.0712947265181209,"Austria"
2002,0.0360739128522094,"Austria"
2003,0.0576224079234577,"Austria"
2004,0.0688069068279863,"Austria"
2005,0.0707761215459963,"Austria"
2006,0.0510479094765569,"Austria"
2007,0.0630951026274601,"Austria"
2008,0.20448198563726,"Austria"
2009,0.2869615727415,"Austria"
2010,0.189935506044278,"Austria"
2011,0.13380744999888,"Austria"
2012,0.221444843609928,"Austria"
2013,0.108004124000211,"Austria"
2014,0.0794053769894219,"Austria"
1990,0.127910816799192,"Belgium"
1991,0.173241011606823,"Belgium"
1992,0.235984158910163,"Belgium"
1993,0.146137465903565,"Belgium"
1994,0.0897166906947574,"Belgium"
1995,0.1083659388235,"Belgium"
1996,0.0728640725279846,"Belgium"
1997,0.171899114990729,"Belgium"
1998,0.125233686844503,"Belgium"
1999,0.231107509262805,"Belgium"
2000,0.22254463195126,"Belgium"
2001,0.144904127190608,"Belgium"
2002,0.177948209516191,"Belgium"
2003,0.157534872163192,"Belgium"
2004,0.0831621961420725,"Belgium"
2005,0.0628229830831506,"Belgium"
2006,0.0647426506272912,"Belgium"
2007,0.0882927666319315,"Belgium"
2008,0.292769912780572,"Belgium"
2009,0.266506270607307,"Belgium"
2010,0.206571153668945,"Belgium"
2011,0.171751392566366,"Belgium"
2012,0.180888776466921,"Belgium"
2013,0.0979461192188299,"Belgium"
2014,0.0706513238857503,"Belgium"
2000,0.09131898456326,"Bulgaria"
2001,0.11710580878915,"Bulgaria"
2002,0.078080674536684,"Bulgaria"
2003,0.0439572076066205,"Bulgaria"
2004,0.0380295613012205,"Bulgaria"
2005,0.0796115955617951,"Bulgaria"
2006,0.0760491616961254,"Bulgaria"
2007,0.115487110109228,"Bulgaria"
2008,0.255381460541526,"Bulgaria"
2009,0.417443454723822,"Bulgaria"
2010,0.242838061781574,"Bulgaria"
2011,0.133010589205356,"Bulgaria"
2012,0.117285084385603,"Bulgaria"
2013,0.0734365851491369,"Bulgaria"
2014,0.0841579367588282,"Bulgaria"
1998,0.0603930717769411,"Cyprus"
1999,0.0740576360403212,"Cyprus"
2000,0.0663026635094387,"Cyprus"
2001,0.227044735776722,"Cyprus"
2002,0.141366628007848,"Cyprus"
2003,0.0517578469553368,"Cyprus"
2004,0.093929832073513,"Cyprus"
2005,0.085950009486678,"Cyprus"
2006,0.0630527900215381,"Cyprus"
2007,0.118343475509355,"Cyprus"
2008,0.111565531110588,"Cyprus"
2009,0.0839679848720587,"Cyprus"
2010,0.106556094305472,"Cyprus"
2011,0.129983359908814,"Cyprus"
2012,0.215887455520299,"Cyprus"
2013,0.10659005910265,"Cyprus"
2014,0.0965582820299654,"Cyprus"
1997,0.0964769797665275,"Czech Republic"
1998,0.157453426260747,"Czech Republic"
1999,0.212424700568899,"Czech Republic"
2000,0.12094044451509,"Czech Republic"
2001,0.243501476385982,"Czech Republic"
2002,0.274149531612244,"Czech Republic"
2003,0.0769500112855376,"Czech Republic"
2004,0.0591958739671439,"Czech Republic"
2005,0.0496023094091986,"Czech Republic"
2006,0.067274872278677,"Czech Republic"
2007,0.11857197776628,"Czech Republic"
2008,0.283890850041629,"Czech Republic"
2009,0.479017789133524,"Czech Republic"
2010,0.199043338957188,"Czech Republic"
2011,0.11570251678592,"Czech Republic"
2012,0.111345859014551,"Czech Republic"
2013,0.0950030306537949,"Czech Republic"
2014,0.055838930461246,"Czech Republic"
1964,0.0688771912741538,"Germany"
1965,0.0750869942114007,"Germany"
1966,0.154445634034214,"Germany"
1967,0.133097317630808,"Germany"
1968,0.0492284120047501,"Germany"
1969,0.0632787792748147,"Germany"
1970,0.0818613400100141,"Germany"
1971,0.0718349690412476,"Germany"
1972,0.0296805972293906,"Germany"
1973,0.298841142018118,"Germany"
1974,0.403202875224779,"Germany"
1975,0.204769462411366,"Germany"
1976,0.112179285217914,"Germany"
1977,0.067966989331909,"Germany"
1978,0.134795901350196,"Germany"
1979,0.0972505499915731,"Germany"
1980,0.264001659645861,"Germany"
1981,0.313964224112261,"Germany"
1982,0.119011489386014,"Germany"
1983,0.112169284286073,"Germany"
1984,0.140690464978454,"Germany"
1985,0.0893480458481539,"Germany"
1986,0.211307069234815,"Germany"
1987,0.259464849232836,"Germany"
1988,0.111071960504932,"Germany"
1989,0.0898160229461548,"Germany"
1990,0.161488068558434,"Germany"
1991,0.163313026476234,"Germany"
1992,0.200852259520052,"Germany"
1993,0.103945443683438,"Germany"
1994,0.15908706605581,"Germany"
1995,0.144359656334078,"Germany"
1996,0.0868230352606794,"Germany"
1997,0.0729922973560993,"Germany"
1998,0.111030137833771,"Germany"
1999,0.203345941709577,"Germany"
2000,0.172234198737286,"Germany"
2001,0.0956682153921176,"Germany"
2002,0.195242050070786,"Germany"
2003,0.214345713666051,"Germany"
2004,0.0874062886370666,"Germany"
2005,0.0659567434908881,"Germany"
2006,0.0416412734237249,"Germany"
2007,0.0432553982675821,"Germany"
2008,0.19382540336365,"Germany"
2009,0.306478527880668,"Germany"
2010,0.125720777765181,"Germany"
2011,0.117910477134504,"Germany"
2012,0.0893373093318796,"Germany"
2013,0.0875754768967436,"Germany"
2014,0.0326722202479726,"Germany"
1968,0.0739712849627302,"Denmark"
1969,0.0680650015387442,"Denmark"
1970,0.0560801371088734,"Denmark"
1971,0.0643554768991245,"Denmark"
1972,0.0584618582324057,"Denmark"
1973,0.0745619635409008,"Denmark"
1974,0.179452926672457,"Denmark"
1975,0.145458058532635,"Denmark"
1976,0.182560040313227,"Denmark"
1977,0.0997793357613971,"Denmark"
1978,0.150484260063762,"Denmark"
1979,0.222267308706114,"Denmark"
1980,0.21397558137682,"Denmark"
1981,0.0959782005416069,"Denmark"
1982,0.176319659824304,"Denmark"
1983,0.174140615034955,"Denmark"
1984,0.1212430132562,"Denmark"
1985,0.0786463191262739,"Denmark"
1986,0.119491448587884,"Denmark"
1987,0.22236185848652,"Denmark"
1988,0.0811192903337978,"Denmark"
1989,0.098189495602756,"Denmark"
1990,0.0748921936341196,"Denmark"
1991,0.0413390490734949,"Denmark"
1992,0.203280915847091,"Denmark"
1993,0.239774140675867,"Denmark"
1994,0.0971963870907544,"Denmark"
1995,0.084946685204029,"Denmark"
1996,0.0823145838462329,"Denmark"
1997,0.144105085555929,"Denmark"
1998,0.157263909458797,"Denmark"
1999,0.146627861634981,"Denmark"
2000,0.0914890650766077,"Denmark"
2001,0.18348106618437,"Denmark"
2002,0.135373224725785,"Denmark"
2003,0.124386909762676,"Denmark"
2004,0.0376168066148088,"Denmark"
2005,0.0332037945412242,"Denmark"
2006,0.0502929629053529,"Denmark"
2007,0.0916459762774229,"Denmark"
2008,0.214270675167603,"Denmark"
2009,0.258565935224418,"Denmark"
2010,0.114423576787722,"Denmark"
2011,0.101255443531422,"Denmark"
2012,0.0856770759856244,"Denmark"
2013,0.07195462883579,"Denmark"
2014,0.0557258865720846,"Denmark"
1964,0.0934539217895427,"Spain"
1965,0.0919303888802796,"Spain"
1966,0.0859954529436124,"Spain"
1967,0.100964795297252,"Spain"
1968,0.0646829676557947,"Spain"
1969,0.0834498409424364,"Spain"
1970,0.0550391481318131,"Spain"
1971,0.0464653097852376,"Spain"
1972,0.0509298352795641,"Spain"
1973,0.0939688193635734,"Spain"
1974,0.174174733691502,"Spain"
1975,0.201026084286836,"Spain"
1976,0.213494335023086,"Spain"
1977,0.174807961968198,"Spain"
1978,0.231526716540151,"Spain"
1979,0.440307056870251,"Spain"
1980,0.258972928828627,"Spain"
1981,0.129230023895902,"Spain"
1982,0.0843383104640743,"Spain"
1983,0.133228794515431,"Spain"
1984,0.079090099089309,"Spain"
1985,0.0852696309679499,"Spain"
1986,0.0804691386124118,"Spain"
1987,0.211591086360281,"Spain"
1988,0.145995453657766,"Spain"
1989,0.0893768255915163,"Spain"
1990,0.10342682642534,"Spain"
1991,0.102678634122285,"Spain"
1992,0.202939566106462,"Spain"
1993,0.268225297741501,"Spain"
1994,0.102338929078443,"Spain"
1995,0.146085699293068,"Spain"
1996,0.0637336397073059,"Spain"
1997,0.0757010144847512,"Spain"
1998,0.0895080898438845,"Spain"
1999,0.0742774858532207,"Spain"
2000,0.0555044108227176,"Spain"
2001,0.105655881819979,"Spain"
2002,0.13123142609687,"Spain"
2003,0.131978082744332,"Spain"
2004,0.045276809126798,"Spain"
2005,0.0310241669090265,"Spain"
2006,0.0729021480239359,"Spain"
2007,0.0686394406610426,"Spain"
2008,0.210330882048325,"Spain"
2009,0.271694739791305,"Spain"
2010,0.262000881345075,"Spain"
2011,0.184411302928711,"Spain"
2012,0.287932808982975,"Spain"
2013,0.14478055437579,"Spain"
2014,0.0768769489462785,"Spain"
1964,0.0953609049973411,"Finland"
1965,0.109572136700059,"Finland"
1966,0.113554480184443,"Finland"
1967,0.102606071626334,"Finland"
1968,0.106945095664612,"Finland"
1969,0.0717830676830776,"Finland"
1970,0.0910086383677168,"Finland"
1971,0.0649806120975826,"Finland"
1972,0.114997826296214,"Finland"
1973,0.11024555551962,"Finland"
1974,0.152148317982494,"Finland"
1975,0.285655080818904,"Finland"
1976,0.360346970040653,"Finland"
1977,0.330257995424838,"Finland"
1978,0.397440666698745,"Finland"
1979,0.13466839618301,"Finland"
1980,0.084251641223061,"Finland"
1981,0.108254657416394,"Finland"
1982,0.177420154082017,"Finland"
1983,0.11764763602857,"Finland"
1984,0.0733979282206163,"Finland"
1985,0.0956381137127922,"Finland"
1986,0.0466737110166479,"Finland"
1987,0.0815572413113895,"Finland"
1988,0.0657003791969898,"Finland"
1989,0.115525280311251,"Finland"
1990,0.181983657458548,"Finland"
1991,0.407827494327061,"Finland"
1992,0.598085358454947,"Finland"
1993,0.450927309954224,"Finland"
1994,0.33763042335151,"Finland"
1995,0.261723058411387,"Finland"
1996,0.207374558092819,"Finland"
1997,0.127697800995573,"Finland"
1998,0.132228913117238,"Finland"
1999,0.210001323814398,"Finland"
2000,0.15401365565623,"Finland"
2001,0.212755050409977,"Finland"
2002,0.171642383983188,"Finland"
2003,0.14987967686114,"Finland"
2004,0.0943503280829261,"Finland"
2005,0.0319403169638782,"Finland"
2006,0.0508655120439138,"Finland"
2007,0.0864693505407373,"Finland"
2008,0.163252043406577,"Finland"
2009,0.310515567726675,"Finland"
2010,0.262992840792171,"Finland"
2011,0.161446201940978,"Finland"
2012,0.178011588601454,"Finland"
2013,0.154577610585827,"Finland"
2014,0.0581304387417614,"Finland"
1964,0.121184090657935,"France"
1965,0.0796889878273041,"France"
1966,0.0650332204386968,"France"
1967,0.0947775311594793,"France"
1968,0.0618746289154121,"France"
1969,0.0839668415137028,"France"
1970,0.101074836010942,"France"
1971,0.244629867126127,"France"
1972,0.187387983335196,"France"
1973,0.107245595028711,"France"
1974,0.195312365935653,"France"
1975,0.324133031111542,"France"
1976,0.313195337638227,"France"
1977,0.240705147699351,"France"
1978,0.255921589694689,"France"
1979,0.130446575992961,"France"
1980,0.105312201445744,"France"
1981,0.318587673257839,"France"
1982,0.269933604494568,"France"
1983,0.154778121500748,"France"
1984,0.0813126944347062,"France"
1985,0.0818688190914525,"France"
1986,0.104250686706796,"France"
1987,0.127630429214312,"France"
1988,0.170788280750066,"France"
1989,0.0850762056009733,"France"
1990,0.104561133078271,"France"
1991,0.165600473729007,"France"
