country,revision_cause,deficit_2004,deficit_2005,deficit_2006,deficit_2007,debt_2004,debt_2005,debt_2006,debt_2007
Belgium,Revision in deficit/surplus and debt ratios,-0.2,-0.3,0.0,-0.1,0.1,0.0,-0.4,-1.0
Belgium,- due to revision of deficit/surplus or debt,-0.2,-0.3,0.0,-0.1,0.1,0.1,0.1,0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.1,-0.5,-1.1
Bulgaria,Revision in deficit/surplus and debt ratios,0.2,0.1,0.0,-3.3,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.1,0.1,0.0,-3.3,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.6,0.0,0.1,0.2,0.2
Czech,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
Czech,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2
Denmark,Revision in deficit/surplus and debt ratios,0.1,0.2,0.3,0.5,0.0,0.0,0.1,0.2
Denmark,- due to revision of deficit/surplus or debt,0.1,0.2,0.2,0.5,0.0,0.0,0.1,0.2
Denmark,- due to revision of GDP,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Germany,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,-0.2,0.0,0.0,0.0,0.1
Germany,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,-0.2,0.0,0.0,0.0,0.0
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Estonia,Revision in deficit/surplus and debt ratios,0.1,-0.3,-0.5,-0.1,-0.1,0.0,0.1,0.1
Estonia,- due to revision of deficit/surplus or debt,0.1,-0.3,-0.5,-0.2,-0.1,-0.1,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Ireland,Revision in deficit/surplus and debt ratios,0.0,0.1,0.0,-0.1,-0.1,-0.1,-0.4,-0.6
Ireland,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,-0.1,0.0,0.0,0.0,0.0
Ireland,- due to revision of GDP,0.0,0.0,-0.1,0.0,-0.1,-0.1,-0.4,-0.6
Greece,Revision in deficit/surplus and debt ratios,-0.1,0.0,-0.2,-0.7,0.0,0.8,0.6,0.3
Greece,- due to revision of deficit/surplus or debt,-0.1,0.1,-0.2,-0.6,0.2,0.3,0.2,0.0
Greece,- due to revision of GDP,0.0,-0.1,0.0,-0.1,-0.2,0.5,0.4,0.3
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,0.2,0.0,0.0,0.0,-0.1,0.0
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
Italy,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,0.3,0.0,0.1,0.4,0.1
Italy,- due to revision of deficit/surplus or debt,0.0,-0.1,0.0,0.3,0.0,0.1,0.4,0.1
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.2,0.0,0.0,-0.2,-0.3
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.3
Latvia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.2
Latvia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.2
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.0,-0.2,-0.2,-0.3
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.1,0.0,0.0,-0.2,-0.2,-0.3
Luxembourg,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2
Luxembourg,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Hungary,Revision in deficit/surplus and debt ratios,0.1,0.0,-0.1,0.5,0.0,0.1,0.0,-0.2
Hungary,- due to revision of deficit/surplus or debt,0.1,0.0,-0.1,0.5,0.0,0.0,0.0,0.0
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.2
Malta,Revision in deficit/surplus and debt ratios,-0.1,0.2,0.3,0.0,-0.5,-0.5,-0.4,-0.4
Malta,- due to revision of deficit/surplus or debt,-0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Malta,- due to revision of GDP,0.0,0.1,0.1,0.0,-0.5,-0.5,-0.4,-0.4
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,-0.1,0.0,-0.5,-0.5,0.3
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.9
Netherlands,- due to revision of GDP,0.0,0.0,0.0,-0.1,0.0,-0.5,-0.6,-0.6
Austria,Revision in deficit/surplus and debt ratios,-0.7,0.0,0.0,0.1,1.0,0.2,0.2,0.4
Austria,- due to revision of deficit/surplus or debt,-0.6,0.0,0.0,0.1,0.0,0.0,0.0,-0.1
Austria,- due to revision of GDP,-0.1,0.0,0.0,0.0,1.0,0.2,0.2,0.5
Poland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.3
Poland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.3
Portugal,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Portugal,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Romania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.1
Romania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0
Romania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Slovenia,Revision in deficit/surplus and debt ratios,0.1,0.1,0.0,0.6,-0.4,-0.5,-0.5,-0.7
Slovenia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
