country,revision_cause,deficit_2007,deficit_2008,deficit_2009,debt_2007,debt_2008,debt_2009
Belgium,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.0,0.0,0.0
Belgium,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.0,0.0,0.0
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,-0.1
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.0
Czech,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0
Czech,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,-0.2,0.0,0.2,0.3,0.4
Denmark,- due to revision of deficit/surplus or debt,0.0,-0.2,0.0,0.2,0.4,0.2
Denmark,- due to revision of GDP,0.0,0.0,0.0,-0.1,-0.1,0.2
Germany,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.0,0.1
Ireland,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.1
Ireland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Revision in deficit/surplus and debt ratios,0.0,-0.3,-0.1,0.4,0.4,0.3
Greece,- due to revision of deficit/surplus or debt,0.0,-0.3,-0.1,0.3,0.4,0.3
Greece,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.1,0.1
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.1,0.1
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.1,0.2,0.2
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.1,0.2,0.2
France,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.1
Italy,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.6,0.0,0.0,0.0
Latvia,- due to revision of deficit/surplus or debt,0.0,-0.1,0.6,0.0,0.0,0.0
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.4,0.0,0.0,0.0
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,-0.4,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.2,0.0,0.0,0.0
Luxembourg,- due to revision of deficit/surplus or debt,0.0,0.0,-0.2,0.0,0.0,0.0
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Revision in deficit/surplus and debt ratios,0.0,0.1,-0.1,0.0,0.0,0.0
Hungary,- due to revision of deficit/surplus or debt,0.0,0.1,-0.1,0.0,0.0,0.0
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Malta,Revision in deficit/surplus and debt ratios,-0.1,0.2,0.1,0.3,-1.6,-1.1
Malta,- due to revision of deficit/surplus or debt,-0.1,0.1,0.0,0.1,0.1,0.1
Malta,- due to revision of GDP,0.0,0.1,0.1,0.2,-1.7,-1.2
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.0
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
