unit,sector,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
MIO_EUR,S1,B1GQ,AT	329295.6 	322878.3 	317055.8 	308630.3 	294627.5 	286188.3 	291930.4 	282346.9 	266478.0 	253009.2 	241505.0 	230999.2 	226302.6 	220095.7 	213196.1 	203418.3 	194497.0 	187441.5 	186550.1 	183907.2 
MIO_EUR,S1,B1GQ,BE	400642.9 	392699.0 	387418.8 	379106.3 	365100.5 	348781.1 	354065.9 	344712.5 	326662.1 	311480.8 	298710.8 	282636.5 	275065.1 	265788.4 	258222.0 	244226.0 	232868.7 	224891.0 	221664.5 	221430.4 
MIO_EUR,S1,B1GQ,BG	42750.9 	41911.8 	41693.3 	40955.1 	37723.8 	37245.0 	37373.3 	32708.0 	27349.9 	24001.6 	21042.2 	18735.9 	17433.0 	15851.3 	14300.8 	12680.0 	13080.1 	9957.7 	8081.4 	11034.2 
MIO_EUR,S1,B1GQ,CY	17393.7 	18064.7 	19468.9 	19547.2 	19118.0 	18482.0 	18822.0 	17453.7 	16140.7 	14946.5 	13847.9 	12787.8 	12010.6 	11532.8 	10750.5 	9794.6 	9123.4 	8380.6 	7876.7 	7585.7 
MIO_EUR,S1,B1GQ,CZ	154738.7 	156932.6 	160706.6 	163583.2 	156369.7 	148357.4 	160961.5 	138004.0 	123743.2 	109394.0 	95878.5 	87959.6 	86827.5 	75222.5 	66648.8 	60657.7 	59435.9 	54363.8 	52605.0 	45541.7 
MIO_EUR,S1,B1GQ,DE	2915650.0 	2820820.0 	2754860.0 	2703120.0 	2580060.0 	2460280.0 	2561740.0 	2513230.0 	2393250.0 	2300860.0 	2270620.0 	2220080.0 	2209290.0 	2179850.0 	2116480.0 	2064880.0 	2004600.1 	1958532.1 	1973015.9 	1982061.1 
MIO_EUR,S1,B1GQ,DK	257753.1 	252938.9 	250786.4 	246074.7 	241516.9 	230213.3 	241087.3 	233439.4 	225591.9 	212906.5 	202317.4 	193353.4 	189794.9 	184045.6 	178018.1 	166972.1 	158146.4 	153151.9 	147842.6 	141440.6 
MIO_EUR,S1,B1GQ,EA17	10048114.6 	9875732.0 	9779874.3 	9749018.8 	9499052.4 	9242781.6 	9576792.5 	9348805.2 	8862988.4 	8425749.6 	8135124.1 	7803458.6 	7586015.2 	7333985.9 	7012439.9 	6660930.1 	6366596.5 	6122658.5 	5980880.5 	5736914.6 
MIO_EUR,S1,B1GQ,EA18	10071808.5 	9898537.2 	9801857.0 	9769162.9 	9516824.8 	9261512.9 	9601110.4 	9371444.7 	8880223.4 	8439460.2 	8146786.2 	7813925.1 	7596163.5 	7343343.5 	7021046.1 	6667973.4 	6373004.4 	6128405.1 	5985577.4 	5741049.2 
MIO_EUR,S1,B1GQ,EA19	10108252.9 	9933499.4 	9835191.7 	9800426.0 	9544852.5 	9288447.7 	9633806.7 	9400485.4 	8904302.6 	8460462.6 	8165023.6 	7830593.8 	7611336.6 	7357024.9 	7033537.4 	6678267.0 	6383030.8 	6137329.3 	5992181.2 	5746173.2 
MIO_EUR,S1,B1GQ,EE	19962.7 	19014.8 	18006.0 	16667.6 	14718.5 	14145.9 	16517.3 	16246.4 	13521.7 	11262.3 	9707.7 	8708.9 	7773.8 	6976.4 	6170.8 	5378.7 	5016.7 	4475.8 	3738.6 	2902.3 
MIO_EUR,S1,B1GQ,EL	177559.0 	180389.0 	191204.0 	207029.0 	226031.4 	237534.2 	241990.4 	232694.6 	217861.6 	199242.3 	193715.8 	178904.9 	163460.8 	152193.8 	143373.1 	139944.0 	129057.3 	126353.8 	114908.2 	104662.1 
MIO_EUR,S1,B1GQ,ES	1041160.0 	1031272.0 	1042872.0 	1070413.0 	1080913.0 	1079034.0 	1116207.0 	1080807.0 	1007974.0 	930566.0 	861420.0 	803472.0 	749288.0 	699528.0 	646250.0 	594316.0 	551396.8 	519608.4 	505109.1 	468878.7 
MIO_EUR,S1,B1GQ,EU25	13719774.1 	13317893.0 	13211884.3 	12961929.2 	12585089.5 	12052652.0 	12767737.7 	12712534.7 	12016586.7 	11376970.6 	10908387.7 	10392626.9 	10233065.7 	9872188.6 	9483600.3 	8834084.3 	8408634.3 	8036444.1 	7611301.7 	7225261.5 
