unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
MIO_EUR,AT	-4078.7 	-11534.5 	-6351.3 	-6658.4 	-3717.1 	-4228.6 	-15217.7 	-13104.4 	-7892.8 	-6879.0 	-4158.4 	-8886.0 
MIO_EUR,BE	-4977.4 	-472.9 	-8012.0 	961.0 	205.3 	-3890.6 	-18784.2 	-14493.8 	-15556.2 	-16075.9 	-11425.9 	-12461.7 
MIO_EUR,BG	-73.4 	378.9 	242.4 	495.7 	357.2 	591.4 	-1513.8 	-1190.3 	-812.8 	-259.9 	-327.3 	-2467.6 
MIO_EUR,CY	-759.6 	-513.2 	-325.8 	-166.9 	566.1 	164.6 	-1014.7 	-911.6 	-1122.1 	-1129.7 	-890.7 	-1543.5 
MIO_EUR,CZ	-5631.7 	-2599.4 	-3403.2 	-2790.2 	-958.1 	-3391.7 	-8180.0 	-6902.3 	-4479.3 	-6362.6 	-1962.0 	-3012.6 
MIO_EUR,DE	-92702.0 	-84939.0 	-78619.0 	-41200.0 	4706.0 	-4531.0 	-79590.0 	-108904.0 	-25863.0 	-2421.0 	-3118.0 	8931.0 
MIO_EUR,DK	-257.4 	4196.6 	10546.0 	11247.5 	11716.9 	7668.6 	-6471.5 	-6590.4 	-5095.7 	-9058.7 	-3198.0 	3965.6 
MIO_EUR,EA18	-248910.4 	-240811.6 	-218989.5 	-132207.6 	-59590.5 	-206811.1 	-578907.5 	-587289.9 	-404973.8 	-358656.2 	-293519.0 	-260683.9 
MIO_EUR,EA19	-249121.1 	-241065.5 	-219061.6 	-132273.1 	-59827.3 	-207819.1 	-581360.1 	-589224.0 	-407769.7 	-359705.2 	-294435.9 	-260926.9 
MIO_EUR,EE	157.0 	231.9 	126.5 	393.0 	441.4 	-440.4 	-308.9 	27.6 	193.1 	-46.4 	-27.0 	146.9 
MIO_EUR,EL	-14009.0 	-17101.0 	-12331.0 	-12954.0 	-15607.0 	-24606.0 	-35990.0 	-25333.0 	-21205.0 	-16855.0 	-22451.0 	-6346.0 
MIO_EUR,ES	-2960.0 	-364.0 	11229.0 	22144.0 	21620.0 	-49385.0 	-118237.0 	-101445.0 	-101265.0 	-108903.0 	-71241.0 	-61319.0 
MIO_EUR,EU27	-335100.9 	-321127.1 	-292559.1 	-196660.6 	-116368.2 	-317741.8 	-817710.8 	-820316.0 	-593600.5 	-571065.5 	-442888.4 	-416475.4 
MIO_EUR,EU28	-336480.7 	-322805.9 	-293893.8 	-197959.6 	-117422.1 	-319052.4 	-820313.4 	-822971.1 	-597078.0 	-573413.1 	-445217.4 	-418884.9 
MIO_EUR,FI	3701.0 	3499.0 	4260.0 	6781.0 	9570.0 	8090.0 	-4583.0 	-4904.0 	-1999.0 	-4240.0 	-5145.0 	-6832.0 
MIO_EUR,FR	-63195.9 	-59687.7 	-56089.2 	-43400.3 	-49491.7 	-63532.9 	-138878.0 	-135795.0 	-104961.0 	-100448.0 	-86397.0 	-84127.0 
MIO_EUR,HR	-1379.8 	-1678.8 	-1334.7 	-1299.0 	-1053.9 	-1310.6 	-2602.6 	-2655.1 	-3477.5 	-2347.6 	-2329.1 	-2409.5 
MIO_EUR,HU	-5370.1 	-5304.4 	-7079.4 	-8522.9 	-5145.4 	-3912.0 	-4298.3 	-4442.2 	-5505.5 	-2289.7 	-2520.3 	-2630.8 
MIO_EUR,IE	1091.4 	2170.7 	2182.4 	5195.8 	536.9 	-13101.4 	-23439.7 	-53677.5 	-21803.7 	-14065.0 	-10152.7 	-7331.5 
MIO_EUR,IT	-47473.0 	-51662.0 	-62172.0 	-55549.0 	-24571.0 	-43936.0 	-82881.0 	-68121.0 	-56954.0 	-48102.0 	-47307.0 	-49038.0 
MIO_EUR,LT	-210.7 	-253.9 	-72.1 	-65.5 	-236.8 	-1008.0 	-2452.6 	-1934.1 	-2795.9 	-1049.0 	-916.9 	-243.0 
