unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
MIO_EUR,AT	124398.7 	124352.4 	117788.4 	124559.2 	135123.3 	140419.8 	146328.4 	150019.1 	151286.3 	156500.6 	172841.7 	178658.2 	182983.8 	200024.1 	228165.8 	242743.1 	253673.0 	258850.0 	260924.7 	277383.1 
MIO_EUR,BE	287975.2 	277987.7 	275486.4 	277158.6 	279354.3 	280864.6 	285882.1 	287955.9 	285707.7 	288258.7 	294681.1 	297050.0 	299642.5 	327255.4 	346904.5 	363697.8 	387619.8 	403147.2 	412555.6 	427307.3 
MIO_EUR,BG	: 	: 	9266.9 	9125.8 	9647.4 	10168.5 	10269.8 	8890.2 	8126.5 	7526.2 	6388.6 	5721.0 	5296.9 	4847.5 	5108.7 	5856.1 	6284.2 	7356.6 	7532.0 	11535.0 
MIO_EUR,CY	3589.5 	3896.2 	4478.1 	4981.6 	5416.8 	5930.9 	6567.5 	7246.2 	8093.3 	8963.3 	9502.3 	9504.9 	9370.3 	8493.1 	9964.9 	10769.7 	12869.3 	15430.9 	18518.8 	18818.6 
MIO_EUR,CZ	6141.1 	6135.2 	6237.7 	8482.0 	9420.9 	11525.8 	18266.5 	21958.3 	24327.5 	28559.4 	31474.4 	35614.7 	40014.6 	42817.7 	50454.4 	60193.8 	62298.5 	71804.5 	67155.6 	65668.9 
MIO_EUR,DE	1080672.0 	1114813.8 	1144122.2 	1198968.2 	1239567.7 	1245782.2 	1256946.7 	1309138.5 	1397938.0 	1469116.7 	1540310.7 	1588545.4 	1598061.8 	1666170.4 	1783668.7 	2090036.7 	2118534.6 	2195818.9 	2181924.1 	2184301.6 
MIO_EUR,DK	: 	: 	: 	: 	: 	93084.0 	89464.7 	93174.5 	89061.4 	89394.7 	79532.4 	71183.3 	63755.0 	80547.4 	92986.7 	103472.8 	114452.4 	113999.9 	113916.6 	116428.4 
MIO_EUR,EA17	4067780.1 	4355057.5 	4429158.3 	4578295.1 	4710901.3 	4781546.4 	4922655.7 	5081733.0 	5324609.2 	5579697.1 	5845389.5 	5985694.0 	6094752.4 	6592414.8 	7260761.2 	7982141.8 	8404611.7 	8764221.8 	9024993.8 	9283932.3 
MIO_EUR,EA18	4068338.2 	4355678.6 	4429777.8 	4578868.5 	4711805.9 	4782557.4 	4923968.2 	5082995.9 	5325997.9 	5581288.1 	5847001.8 	5987406.4 	6096674.5 	6596925.4 	7267586.0 	7990571.1 	8413319.6 	8773307.8 	9033886.6 	9293558.0 
MIO_EUR,EA19	4068925.7 	4356609.7 	4431186.7 	4580461.9 	4714286.3 	4785469.5 	4927153.4 	5086361.6 	5329393.0 	5584692.6 	5850703.7 	5991558.3 	6101284.2 	6601687.5 	7275400.8 	8000721.5 	8424948.8 	8786571.9 	9047436.6 	9308384.3 
MIO_EUR,EE	237.6 	282.1 	313.1 	300.4 	348.0 	315.6 	333.4 	442.9 	489.7 	491.4 	512.3 	595.5 	595.2 	741.1 	995.6 	964.1 	985.6 	1713.4 	1889.1 	2072.4 
MIO_EUR,EL	100623.8 	114823.8 	124441.2 	125899.8 	136111.2 	147898.0 	162566.0 	170992.0 	181117.0 	198967.0 	213827.0 	225551.0 	239857.0 	264659.0 	300876.0 	330372.0 	356003.0 	304814.0 	319215.0 	317117.0 
MIO_EUR,ES	295603.7 	324301.0 	331629.9 	346417.0 	362224.0 	374557.0 	378883.0 	384145.0 	382775.0 	389888.0 	393479.0 	392168.0 	383798.0 	439771.0 	568700.0 	649259.0 	743530.0 	890728.0 	966044.0 	1033741.0 
MIO_EUR,EU27	: 	: 	: 	: 	: 	5782979.2 	5941373.6 	6102875.3 	6361510.4 	6739122.5 	7108015.7 	7346781.0 	7451919.2 	7903374.8 	8920813.0 	10011181.3 	10652192.7 	11220327.8 	11550027.7 	12081106.1 
MIO_EUR,EU28	: 	: 	: 	: 	: 	: 	: 	6113156.7 	6372910.0 	6752150.8 	7122929.4 	7362113.9 	7468213.4 	7921747.0 	8942585.8 	10036499.6 	10680307.1 	11250601.0 	11584923.2 	12117611.9 
MIO_EUR,FI	56526.5 	57713.0 	57456.7 	56414.1 	55912.4 	57926.2 	59186.6 	59661.0 	64870.0 	67697.0 	65759.0 	65894.0 	63425.0 	63254.0 	75482.0 	88160.0 	95490.0 	105667.0 	112707.0 	121771.0 
MIO_EUR,FR	696243.3 	751116.5 	787748.0 	829321.3 	847891.5 	871149.7 	898236.6 	957720.4 	1051310.9 	1124468.4 	1190764.3 	1194243.0 	1252965.4 	1358234.4 	1531590.1 	1632544.8 	1754356.0 	1869155.0 	1953409.0 	2037771.9 
MIO_EUR,HR	: 	: 	: 	: 	: 	: 	: 	10281.4 	11399.6 	13028.3 	14913.6 	15332.9 	16294.2 	18372.2 	21772.8 	25318.3 	28114.4 	30273.2 	34895.9 	36507.4 
MIO_EUR,HU	26761.0 	24541.7 	24335.6 	24793.9 	27337.1 	27696.4 	32440.7 	40520.1 	41837.2 	49991.5 	53722.2 	62007.1 	66044.0 	72636.3 	75700.3 	78426.9 	72225.7 	76681.7 	77687.3 	77689.6 
MIO_EUR,IE	41333.3 	44446.7 	43599.1 	41352.7 	43212.9 	39094.1 	40524.2 	41538.5 	43555.9 	44055.8 	44379.3 	43692.3 	47147.8 	79604.7 	104667.4 	144227.1 	190122.6 	210238.1 	215333.1 	203186.5 
MIO_EUR,IT	1070571.7 	1227834.7 	1236201.1 	1258222.6 	1285093.2 	1302586.6 	1360324.9 	1371672.6 	1397454.1 	1449653.9 	1518634.0 	1588062.5 	1605937.0 	1671127.3 	1769771.1 	1851212.5 	1907478.9 	1989421.2 	2069692.0 	2135901.8 
MIO_EUR,LT	587.5 	931.1 	1408.8 	1593.4 	2480.4 	2912.1 	3185.2 	3365.7 	3395.1 	3404.5 	3701.9 	4151.9 	4609.7 	4762.1 	7814.8 	10150.4 	11629.2 	13264.1 	13550.0 	14826.3 
MIO_EUR,LU	1276.9 	1267.3 	1289.0 	1322.6 	1336.7 	1410.3 	1548.0 	1616.3 	1652.1 	1790.2 	1884.5 	2337.9 	2574.0 	5419.9 	5586.1 	7731.5 	8107.3 	9615.1 	10894.1 	11244.1 
MIO_EUR,LV	558.1 	621.1 	619.5 	573.5 	904.6 	1011.0 	1312.5 	1262.9 	1388.7 	1591.0 	1612.3 	1712.3 	1922.0 	4510.6 	6824.8 	8429.4 	8707.9 	9086.0 	8892.8 	9625.7 
MIO_EUR,MT	968.4 	1177.2 	1568.6 	1790.2 	2441.8 	2654.0 	3000.0 	2925.8 	3270.2 	3452.1 	3610.1 	3480.3 	3592.1 	3845.5 	4161.9 	4462.2 	4809.4 	4872.5 	5245.0 	5421.5 
MIO_EUR,NL	248710.5 	245013.4 	236787.4 	243135.0 	241323.0 	230080.0 	232073.0 	238213.0 	249821.0 	259947.0 	267038.0 	257602.0 	259884.0 	348131.0 	348864.0 	372627.0 	396421.0 	428591.0 	442197.0 	452056.0 
MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98942.5 	117661.1 	107608.3 	92630.7 
MIO_EUR,PL	50498.9 	50779.2 	56877.7 	56959.5 	63105.5 	70735.4 	83306.4 	84224.1 	83817.2 	102767.8 	119059.3 	130998.2 	145917.9 	143344.2 	165264.0 	193863.1 	191048.0 	215735.1 	223047.2 	202907.9 
MIO_EUR,PT	52963.7 	57442.6 	56022.3 	57727.9 	61074.6 	64640.5 	72554.2 	80133.6 	85726.1 	94454.1 	106919.5 	115002.2 	120088.5 	128191.4 	146691.3 	173062.4 	196231.4 	212534.9 	219649.0 	225766.6 
MIO_EUR,RO	: 	2333.9 	4334.5 	4852.1 	6527.4 	7532.8 	10917.2 	10757.1 	10309.5 	11768.7 	12397.6 	12585.6 	14763.0 	17158.6 	27970.5 	37451.2 	44688.3 	50128.6 	54170.0 	59273.0 
MIO_EUR,SE	151472.8 	157512.1 	157726.9 	149083.2 	160621.0 	136313.5 	137827.6 	139839.5 	144317.5 	148899.3 	149291.6 	147972.1 	133694.0 	114820.6 	129600.7 	147736.9 	151566.4 	159750.4 	169392.2 	187219.5 
MIO_EUR,SI	2788.0 	3540.4 	3915.3 	4428.9 	4921.0 	5483.6 	6035.5 	6707.8 	6941.5 	7425.4 	7687.3 	8204.4 	7964.4 	8216.0 	12469.7 	13839.9 	17133.9 	19336.4 	25427.1 	30132.6 
MIO_EUR,SK	3297.3 	5048.6 	6311.8 	6295.0 	9549.0 	10753.4 	11665.7 	11604.2 	12600.3 	14567.6 	13559.2 	15102.3 	16865.6 	19276.3 	22979.7 	27504.3 	30480.2 	37613.7 	40284.3 	40403.8 
MIO_EUR,UK	446442.7 	542883.0 	617685.7 	578657.7 	649694.4 	640453.5 	631727.2 	617149.9 	630320.7 	715522.3 	805445.8 	889140.7 	881149.5 	825515.0 	1098463.0 	1383582.9 	1585277.1 	1741372.4 	1794649.2 	2057219.2 
PC_GDP,AT	68.0 	68.0 	63.2 	63.6 	66.4 	65.9 	66.5 	66.3 	65.5 	64.8 	68.3 	67.0 	64.8 	68.5 	79.7 	82.4 	82.2 	81.6 	80.8 	84.2 
PC_GDP,BE	130.5 	128.0 	123.2 	118.2 	114.4 	108.8 	107.6 	104.7 	101.1 	96.5 	94.6 	90.9 	86.9 	92.4 	99.5 	99.6 	102.2 	104.1 	105.1 	106.7 
PC_GDP,BG	: 	: 	97.3 	69.3 	76.1 	71.2 	64.7 	51.1 	43.5 	35.8 	26.6 	20.9 	16.2 	13.0 	13.7 	15.5 	15.3 	17.6 	18.0 	27.0 
PC_GDP,CY	47.9 	49.2 	53.2 	54.8 	55.1 	55.1 	56.9 	60.1 	63.5 	64.5 	63.2 	59.1 	53.9 	45.1 	53.9 	56.3 	65.8 	79.3 	102.5 	108.2 
PC_GDP,CZ	13.6 	11.6 	12.1 	13.9 	15.2 	17.0 	22.8 	25.9 	28.1 	28.5 	28.0 	27.9 	27.8 	28.7 	34.1 	38.2 	39.9 	44.7 	45.2 	42.7 
PC_GDP,DE	54.8 	57.6 	58.8 	59.4 	60.0 	58.9 	57.7 	59.3 	63.0 	64.7 	66.9 	66.4 	63.6 	65.0 	72.5 	81.0 	78.4 	79.7 	77.4 	74.9 
PC_GDP,DK	: 	: 	: 	: 	: 	52.4 	48.5 	49.1 	46.2 	44.2 	37.4 	31.5 	27.3 	33.4 	40.4 	42.9 	46.4 	45.6 	45.0 	45.1 
PC_GDP,EA17	70.9 	72.8 	72.3 	71.9 	70.7 	68.2 	67.1 	67.0 	68.2 	68.6 	69.4 	67.5 	65.2 	68.8 	78.6 	84.0 	86.2 	89.6 	91.4 	92.4 
PC_GDP,EA18	70.9 	72.8 	72.3 	71.8 	70.7 	68.1 	67.1 	66.9 	68.2 	68.5 	69.3 	67.4 	65.1 	68.7 	78.5 	84.0 	86.1 	89.5 	91.3 	92.3 
PC_GDP,EA19	70.8 	72.7 	72.2 	71.8 	70.6 	68.0 	67.0 	66.8 	68.1 	68.4 	69.2 	67.3 	64.9 	68.5 	78.3 	83.8 	86.0 	89.3 	91.1 	92.1 
PC_GDP,EE	8.2 	7.5 	7.0 	6.0 	6.5 	5.1 	4.8 	5.7 	5.6 	5.1 	4.5 	4.4 	3.7 	4.5 	7.0 	6.6 	5.9 	9.5 	9.9 	10.4 
PC_GDP,EL	98.9 	101.2 	99.3 	97.2 	98.6 	104.4 	106.8 	104.6 	101.2 	102.7 	107.3 	103.5 	103.1 	109.4 	126.7 	146.2 	172.0 	159.4 	177.0 	178.6 
PC_GDP,ES	61.7 	65.6 	64.4 	62.5 	60.9 	58.0 	54.2 	51.3 	47.6 	45.3 	42.3 	38.9 	35.5 	39.4 	52.7 	60.1 	69.5 	85.4 	93.7 	99.3 
PC_GDP,EU27	: 	: 	: 	: 	: 	60.6 	59.8 	59.3 	60.8 	61.3 	61.9 	60.5 	57.9 	61.0 	73.1 	78.5 	81.1 	83.8 	85.5 	86.8 
PC_GDP,EU28	: 	: 	: 	: 	: 	: 	: 	59.2 	60.7 	61.2 	61.8 	60.4 	57.8 	61.0 	73.0 	78.4 	81.0 	83.8 	85.5 	86.8 
